queryNo|tables|conditions|subqueries|joins|paths|functions|total columns|used columns|query
33|3|15|2|0|43|15|66|23|select name, subject, description, starts_on, ends_on, owner, all_day, event_type, repeat_this_event, repeat_on,repeat_till, monday, tuesday, wednesday, thursday, friday, saturday, sunday from tabEvent where (( (date(starts_on) between date('2015-02-01') and date('2015-02-01')) or (date(ends_on) between date('2015-02-01') and date('2015-02-01')) or (date(starts_on) <= date('2015-02-01') and date(ends_on) >= date('2015-02-01')) ) or ( date(starts_on) <= date('2015-02-01') and repeat_this_event=1 and ifnull(repeat_till, '3000-01-01') > date('2015-02-01') )) and ifnull(send_reminder,0)=1 and (event_type='Public' or owner='Administrator' or exists(select name from `tabDocShare` where tabDocShare.share_doctype='Event' and `tabDocShare`.share_name=tabEvent.name and tabDocShare.user='Administrator') or exists(select * from `tabEvent Role` where `tabEvent Role`.parent=tabEvent.name and `tabEvent Role`.role in ('Manufacturing User', 'Sales User', 'Instructor', 'Knowledge Base Contributor', 'Stock User', 'HR Manager', 'Purchase User', 'Item Manager', 'Accounts User', 'Auditor', 'Supplier', 'Newsletter Manager', 'Leave Approver', 'Maintenance User', '_Test Role', '_Test Role 3', 'Customer', 'Report Manager', '_Test Role 2', 'Administrator', 'Sales Master Manager', 'Manufacturing Manager', 'Purchase Master Manager', 'Maintenance Manager', 'Expense Approver', 'System Manager', 'Analytics', 'HR User', 'Stock Manager', 'Website Manager', '_Test Role 4', 'Quality Manager', 'Student', 'Support Team', 'Projects Manager', 'Fleet Manager', 'Blogger', 'Knowledge Base Editor', 'Sales Manager', 'Purchase Manager', 'Accounts Manager', 'Projects User', 'All', 'Guest'))) order by starts_on
34|1|2|0|0|5|0|12|2|select * from `tabDefaultValue` where parent='Guest' and parentfield='defaults' order by idx
35|1|3|0|0|7|0|11|3|select * from `tabPOS Customer Group` where `parenttype` = 'POS Profile' and `parent` = '6125d62f89' and `parentfield` = 'customer_groups' order by idx asc
36|1|1|0|0|3|0|52|1|select `name`, `parent`, `parenttype`, `docstatus` from `tabSales Order Item` where `prevdoc_docname` = 'QTN-00005' order by modified desc
37|1|7|0|0|18|1|44|6|select t1.name, t1.salary_structure from `tabSalary Slip` t1 where t1.docstatus = 0 and t1.start_date >= '2016-11-01' and t1.end_date <= '2016-11-30' and (t1.journal_entry is null or t1.journal_entry = '') and ifnull(salary_slip_based_on_timesheet,0) = 0 and t1.company = 'Wind Power LLC'
38|1|1|0|0|2|0|75|1|select name, has_batch_no, docstatus, is_stock_item, has_variants, stock_uom from tabItem where name='_Test Item'
39|1|2|0|0|6|0|22|2|select * from `tabTerritory` where lft=4 or rgt=5
40|1|3|0|0|7|0|46|3|select * from `tabDocField` where `parenttype` = 'DocType' and `parent` = 'Website Slideshow Item' and `parentfield` = 'fields' order by idx asc
41|1|3|0|0|9|0|38|3|select `name` from `tabBOM` where `is_default` = 1 and `item` = '_Test FG Item 2' and `is_active` = 1 order by modified desc
42|1|1|0|0|2|0|107|1|select `name` from `tabSales Invoice` where `name` = '_T-Sales Invoice-00004' order by modified desc
43|1|1|0|0|2|0|71|1|select `name` from `tabEmployee` where `name` = 'EMP-0004' order by modified desc
44|1|2|0|0|5|0|17|2|select name from `tabRole` where desk_access=1 and name in ('_Test Role', 'System Manager', 'Employee', 'Blogger', '_Test Role 3') limit 1
45|1|1|0|0|2|0|71|1|select `name`, `designation`, `branch` from `tabEmployee` where `name` = 'EMP-0001' order by modified desc
46|1|1|0|0|2|0|75|1|select name, has_batch_no, docstatus, is_stock_item, has_serial_no, serial_no_series from tabItem where name='_Test Serialized Item'
47|1|1|0|0|2|0|48|1|select `name` from `tabStock Entry` where `name` = 'STE-00044' order by modified desc
48|1|2|0|0|6|1|35|2|select name from `tabTask` where `tabTask`.project = '_Test Project' and ifnull(`tabTask`.name, '') not in ('TASK00004') order by `tabTask`.`modified` desc
49|1|3|0|0|8|0|52|4|select item_code, `amount`, `billed_amt`, parenttype, parent from `tabSales Order Item` where `amount` < `billed_amt` and name='e2a298d36d' and docstatus=1
50|1|3|0|0|7|0|16|3|select * from `tabSales Invoice Advance` where `parenttype` = 'Sales Invoice' and `parent` = 'SINV-00015' and `parentfield` = 'advances' order by idx asc
51|1|1|0|0|2|0|28|1|select * from `tabEmail Queue` where `name` = 'c4031dcc1c' order by modified desc
52|1|3|0|0|9|0|26|4|select employee, leave_type, total_leaves_allocated, from_date, to_date from `tabLeave Allocation` where '2013-01-01' between from_date and to_date and docstatus=1 and employee='_T-Employee-0002'
53|1|1|0|0|3|0|23|1|select `name` from `tabSales Person` where `employee` = NULL order by modified desc
54|1|3|0|0|7|0|55|3|select * from `tabSales Invoice Item` where `parenttype` = 'Sales Invoice' and `parent` = '_T-Sales Invoice-00004' and `parentfield` = 'items' order by idx asc
55|1|1|0|0|2|0|75|1|select `is_stock_item` from `tabItem` where `name` = '_Test Item for Auto Price List' order by modified desc
56|1|1|0|0|2|0|31|1|select `is_group` from `tabWarehouse` where `name` = 'Test Warehouse for Merging 1 - _TC' order by modified desc
57|1|0|0|0|0|0|57|0|select name from tabDocType
58|1|1|0|0|2|0|25|1|select `parenttype`, `parent` from `tabToDo` where `name` = '258546aad7' order by modified desc
59|1|1|0|0|3|0|75|1|select `tabItem`.`name` from `tabItem` where `tabItem`.variant_of = '_Test Numeric Template Item' order by `tabItem`.`idx` desc, `tabItem`.`modified` desc
60|1|2|0|0|6|0|19|2|select route, name, modified from `tabJob Opening` where publish=1 and `route`='test-route-000' limit 1
61|1|1|0|0|2|0|26|1|select * from `tabReport` where `name` = 'Permitted Documents For User' order by modified desc
62|1|14|0|0|44|10|42|15|select * from `tabPricing Rule` where (item_code='_Test Item Home Desktop 200' or ifnull(item_group, '') in ('_Test Item Group Desktops', 'All Item Groups') or brand=NULL) and docstatus < 2 and disable = 0 and buying = 1 and ifnull(company, '') in ('_Test Company', '') and ifnull(customer, '') = '' and ifnull(supplier, '') = '' and ifnull(supplier_type, '') = '' and ifnull(campaign, '') = '' and ifnull(sales_partner, '') = '' and ifnull(for_price_list, '') in ('Standard Buying', '') and '2017-02-09' between ifnull(valid_from, '2000-01-01') and ifnull(valid_upto, '2500-12-31') order by priority desc, name desc
63|1|1|0|0|2|0|38|1|select `lead_name`, `email_id`, `phone`, `mobile_no` from `tabLead` where `name` = '_T-Lead-00001' order by modified desc
64|1|2|0|0|5|0|36|2|select * from `tabGL Entry` where posting_date >= '2012-12-26' and voucher_no in ('SR/00006', 'STE-00007', 'STE-00010')
65|1|0|0|0|0|0|17|0|select distinct reference_doctype from `tabPayment Entry Reference`
66|1|4|0|0|8|0|11|4|select name from `tabUserRole` where parent='test2@example.com' and parenttype='User' and parentfield='user_roles' and name not in ('fb6624c2ad','7dcdf83959','48b461aefc','79ec8a8cb6')
67|1|1|0|0|3|0|34|1|select `name` from `tabTax Rule` where `use_for_shopping_cart` = 1 order by modified desc
68|1|2|0|0|5|0|71|2|select user_id from `tabEmployee` where `tabEmployee`.status = 'Active' and `tabEmployee`.company = '_Test Company' order by `tabEmployee`.`modified` DESC
69|1|4|0|0|10|1|55|3|select sum(amount) from `tabSales Invoice Item` where so_detail='21b1167610' and (dn_detail is null or dn_detail = '') and docstatus=1
70|1|1|0|0|2|0|18|1|select `name` from `tabAsset Category` where `name` = 'Computers' order by modified desc
71|1|1|0|0|2|0|55|1|select `rate` from `tabPurchase Receipt Item` where `name` = '5018a5031a' order by modified desc
72|1|0|0|0|0|0|18|0|select distinct payment_document from `tabBank Reconciliation Detail`
73|1|4|0|0|8|0|12|4|select name from `tabParty Account` where parent='_Test Supplier USD' and parenttype='Supplier' and parentfield='accounts' and name not in ('134cac726d')
74|1|5|0|0|11|0|23|5|select `name` from `tabBudget` where `docstatus` != 2 and `cost_center` = '_Test Cost Center - _TC' and `company` = '_Test Company' and `fiscal_year` = '_Test Fiscal Year 2013' and `name` != '_Test Cost Center - _TC/_Test Fiscal Year 2013/002' order by modified desc
75|1|1|0|0|2|0|75|1|select `thumbnail`, `website_image`, `description`, `route` from `tabItem` where `name` = '_Test Item 2' order by modified desc
76|1|2|0|0|8|2|55|2|select sum(base_net_amount) / sum(qty) from `tabPurchase Invoice Item` where item_code = '_Test Service Product Bundle Item 2' and docstatus=1
77|1|1|0|0|3|0|48|1|select `email_id` from `tabEmail Account` where `append_to` = 'ToDo' order by modified desc
78|1|2|0|0|5|0|25|2|select owner from `tabToDo` where reference_type='Task' and reference_name='TASK00009'
79|1|2|0|0|5|0|36|2|select `name` from `tabStock Ledger Entry` where `voucher_no` = 'SR/00009' and `voucher_type` = 'Stock Reconciliation' order by modified desc
80|1|4|0|0|8|0|12|4|select name from `tabLanded Cost Taxes and Charges` where parent='LCV00003' and parenttype='Landed Cost Voucher' and parentfield='taxes' and name not in ('a05dcf7415')
81|2|3|0|1|10|1|57|3|select bom_item.item_code, bom_item.item_name, bom_item.description, bom_item.stock_uom, bom_item.qty, bom_item.rate, bom_item.qty / ifnull(bom.quantity, 1) as qty_consumed_per_unit from `tabBOM Explosion Item` bom_item, tabBOM bom where bom_item.parent = bom.name and bom.name = 'BOM-_Test PPT Item Sub A-001' and bom.docstatus = 1
82|1|1|0|0|3|0|34|1|select `name`, `parent`, `parenttype`, `docstatus` from `tabTimesheet` where `salary_slip` = 'Sal Slip/_T-Employee-0001/00001' order by modified desc
83|1|1|0|0|2|0|75|1|select `item_group`, `buying_cost_center` from `tabItem` where `name` = '_Test Item' order by modified desc
84|1|1|0|0|2|0|55|1|select `name`, `full_name` from `tabUser` where `name` = 'Administrator' order by modified desc
85|1|1|0|0|3|0|35|1|select name from `tabCustomer` where `tabCustomer`.status = 'Open' order by `tabCustomer`.`modified` desc limit 0, 100
86|1|2|0|0|6|0|21|2|select distinct share_doctype from tabDocShare where (user='Administrator' or everyone=1)
87|1|4|0|0|9|0|48|4|select `name` from `tabStock Entry` where `docstatus` != 2 and `production_order` = 'PRO-00002' and `purpose` = 'Manufacture' and `name` != 'STE-00039' order by modified desc
88|1|4|0|0|8|0|11|4|select name from `tabUserRole` where parent='Administrator' and parenttype='User' and parentfield='user_roles' and name not in ('840a017172','a8aeb4dda8','fb92eac658','2f0b4f7942','295edbfb91','ea3354d8bd','ae196db87f','14607b04e4','ee65d39cdb','9a873503c7','63ddbbc65d','550f629631','f88424d645','93962fb409','2776be196f','767caf1a89','eef45bb10b','8606e302fa','0dc15b9feb','d07210c929','15e0ff6ecd','4dabbc20ab','bbd0220737','8fc9cf07fb','4e3bdaa967','ff26dd60d4','e6e009ef82','bb58f2d291','0ae1a69f66','27d84ccc37','1953579051','e709bd7103','5d9817f9d9','9e29a83a26','d79f19b8c9','dcdf15a4fe','1403958824','713d246c3f','daa263b410','b28ba6a464','6f9c3a94b8','7d2fb9484f','6c0b5d5cef','d6cff724e6')
89|1|1|0|0|3|0|45|1|select distinct `link_doctype`, parenttype from `tabCommunication` where `link_doctype`='Role'
90|1|1|0|0|2|0|55|1|select * from `tabPurchase Receipt Item` where `name` = '68842f9afa' order by modified desc
91|1|1|0|0|3|0|43|1|select name from `tabWarranty Claim` where `tabWarranty Claim`.status = 'Open' order by `tabWarranty Claim`.`modified` DESC limit 0, 100
92|1|2|0|0|5|0|17|2|select name from `tabRole` where desk_access=1 and name in ('Customer') limit 1
93|1|3|0|0|9|0|38|3|select `name`, `operating_cost` from `tabBOM` where `is_default` = 1 and `item` = '_Test FG Item 2' and `docstatus` = 1 order by modified desc
94|1|1|0|0|3|1|41|1|select sum(purchase_rate) from `tabSerial No` where name in ('ABCD00001', 'ABCD00002')
95|1|3|0|0|7|0|12|3|select * from `tabSalary Component Account` where `parenttype` = 'Salary Component' and `parent` = 'Basic' and `parentfield` = 'accounts' order by idx asc
97|1|2|0|0|8|1|69|2|select name from `tabQuotation` where `tabQuotation`.customer = '_Test Customer 1' and ifnull(`tabQuotation`.docstatus, 0) = 0.0 order by `tabQuotation`.docstatus asc, `tabQuotation`.`modified` DESC limit 0, 1
98|1|1|0|0|4|1|35|1|select count(name) from tabCustomer where customer_group = '_Test Customer Group'
99|1|3|0|0|8|0|31|3|select `name` from `tabPayment Request` where `docstatus` = 1 and `reference_doctype` = 'Sales Invoice' and `reference_name` = 'SINV-00019' order by modified desc
100|1|2|0|0|5|0|21|2|select `name`, `user`, `read`, `write`, `share`, `everyone` from tabDocShare where share_doctype='Blog Post' and share_name='-test-blog-post'
101|1|1|0|0|3|0|51|1|select `name`, `parent`, `parenttype`, `docstatus` from `tabPurchase Order Item` where `sales_order` = 'SO-00033' order by modified desc
103|1|2|0|0|5|0|36|2|select * from `tabGL Entry` where posting_date >= '2017-02-07' and voucher_no in ('STE-00012', '_T-Purchase Receipt-00003', 'PINV-00001', 'DN-00001', 'STE-00011', 'DN-00002')
104|1|1|0|0|3|0|44|1|select dt as doctype, fieldname, options as doctype_fieldname from `tabCustom Field` where fieldtype='Dynamic Link'
105|1|1|0|0|2|0|48|1|select `_comments` from `tabEmail Account` where `name` = '_Test Email Account 1' order by modified desc
106|1|3|0|0|7|0|15|3|select * from `tabEmployee Internal Work History` where `parenttype` = 'Employee' and `parent` = 'EMP-0005' and `parentfield` = 'internal_work_history' order by idx asc
107|1|2|0|0|5|0|36|2|select warehouse, stock_value_difference, voucher_detail_no, item_code, posting_date, posting_time, actual_qty, qty_after_transaction from `tabStock Ledger Entry` where voucher_type='Delivery Note' and voucher_no='DN-00003'
108|1|1|0|0|2|0|107|1|select `owner` from `tabSales Invoice` where `name` = '_T-Sales Invoice-00001' order by modified desc
109|1|1|0|0|2|0|38|1|select modified, docstatus from `tabBOM` where name = 'BOM-_Test FG Item 2-001' for update
110|1|4|0|0|8|0|25|4|select name from `tabPacked Item` where parent='SO-00027' and parenttype='Sales Order' and parentfield='packed_items' and name not in ('7db742e2e8','7265ab15ca')
111|1|3|0|0|7|0|12|3|select * from `tabProduction Plan Material Request` where `parenttype` = 'Production Planning Tool' and `parent` = 'Production Planning Tool' and `parentfield` = 'material_requests' order by idx asc
112|1|1|0|0|3|0|55|1|select `name`, `parent`, `parenttype`, `docstatus` from `tabPurchase Invoice Item` where `asset` = 'Macbook Pro 1' order by modified desc
113|1|1|0|0|2|0|75|1|select `website_image` from `tabItem` where `name` = '_Test PPT Item Sub B' order by modified desc
114|1|1|0|0|3|0|15|1|select `name`, `parent`, `parenttype`, `docstatus` from `tabC-Form Invoice Detail` where `invoice_no` = 'SINV-00016' order by modified desc
115|1|1|0|0|2|0|15|1|select `name` from `tabPayment Gateway` where `name` = '_Test Gateway' order by modified desc
116|1|3|0|0|8|0|28|3|select `name` from `tabDesktop Icon` where `owner` = 'test@example.com' and `module_name` = 'BOM' and `standard` = 0 order by modified desc
117|1|1|0|0|2|0|57|1|select * from `tabDocType` where `name` = 'SMS Center' order by modified desc
118|1|1|0|0|2|0|42|1|select `docstatus` from `tabJournal Entry` where `name` = '_T-Journal Entry-00004' order by modified desc
119|1|3|0|0|7|0|36|3|select `stock_value_difference` from `tabStock Ledger Entry` where `warehouse` = '_Test Warehouse - _TC' and `voucher_no` = 'STE-00011' and `voucher_type` = 'Stock Entry' order by modified desc
120|1|3|0|0|8|2|36|4|select distinct sle.voucher_type, sle.voucher_no from `tabStock Ledger Entry` sle where timestamp(sle.posting_date, sle.posting_time) >= timestamp('2017-02-09', '12:25:34.138998') and item_code in ('_Test Item') and warehouse in ('_Test Warehouse - _TC', '_Test Warehouse 1 - _TC') order by timestamp(sle.posting_date, sle.posting_time) asc, name asc
122|1|2|0|0|5|0|36|2|select account, posting_date, party_type, party, cost_center, fiscal_year,voucher_type, voucher_no, against_voucher_type, against_voucher, cost_center, company from `tabGL Entry` where voucher_type='Stock Reconciliation' and voucher_no='SR/00001'
123|1|1|0|0|3|0|17|1|select `costing_rate`, `billing_rate` from `tabActivity Type` where `activity_type` = '_Test Activity Type' order by modified desc
124|1|1|0|0|2|0|21|1|select `max_days_allowed` from `tabLeave Type` where `name` = '_Test Leave Type' order by modified desc
125|1|1|0|0|2|0|26|1|select * from `tabVehicle Log` where `name` = 'VLOG00001' order by modified desc
126|1|1|0|0|2|0|35|1|select modified, docstatus from `tabCustomer` where name = '_Test Customer' for update
127|1|1|0|0|2|0|25|1|select * from `tabToDo` where `name` = '258546aad7' order by modified desc
128|1|1|0|0|2|0|71|1|select `company` from `tabEmployee` where `name` = '_T-Employee-0001' order by modified desc
129|1|0|0|0|1|2|25|0|select max(char_length(`assigned_by`)) from `tabToDo`
130|1|3|0|0|7|0|12|3|select * from `tabParty Account` where `parenttype` = 'Customer' and `parent` = 'Party Status Test' and `parentfield` = 'accounts' order by idx asc
131|1|4|0|0|8|0|18|4|select name from `tabSalary Detail` where parent='Monthly Salary Structure Test for Salary Slip' and parenttype='Salary Structure' and parentfield='earnings' and name not in ('034a7da75e','8cc22132c5','6f74fa19d5','50467f0ee9')
132|1|1|0|0|2|0|22|1|select `name` from `tabItem Price` where `name` = 'ITEM-PRICE-00005' order by modified desc
133|1|1|0|0|3|0|107|1|select `name`, `parent`, `parenttype`, `docstatus` from `tabSales Invoice` where `return_against` = 'SINV-00013' order by modified desc
134|1|3|0|0|8|0|21|3|select share_name from tabDocShare where (user='Guest' ) and share_doctype='Website Settings' and `write`=1
135|1|4|0|0|10|1|18|4|select `tabEmail Unsubscribe`.`name` from `tabEmail Unsubscribe` where `tabEmail Unsubscribe`.reference_doctype = 'Event' and `tabEmail Unsubscribe`.email = 'test@example.com' and ifnull(`tabEmail Unsubscribe`.name, '') != '5b6fee6b2a' and `tabEmail Unsubscribe`.reference_name = 'EV00016' order by `tabEmail Unsubscribe`.`modified` DESC
136|1|1|0|0|3|0|21|1|select distinct `share_doctype`, parenttype from `tabDocShare` where `share_doctype`='Role'
137|1|4|0|0|8|0|19|4|select name from `tabBOM Explosion Item` where parent='BOM-_Test FG Item 2-001' and parenttype='BOM' and parentfield='exploded_items' and name not in ('4b60b0190a','8dc9f0b3f7','c52dc866f3')
138|1|1|0|0|3|0|36|1|select distinct `against_voucher_type`, parenttype from `tabGL Entry` where `against_voucher_type`='Role'
139|1|1|0|0|3|0|13|1|select grade_code, threshold from `tabGrading Scale Interval` where `tabGrading Scale Interval`.parent = '_Test Grading Scale' order by `tabGrading Scale Interval`.`modified` DESC
140|1|1|0|0|2|0|32|1|select * from `tabLeave Application` where `name` = 'LAP/00003' order by modified desc
141|1|3|0|0|7|0|12|3|select * from `tabProject User` where `parenttype` = 'Project' and `parent` = '_Test Project 1' and `parentfield` = 'users' order by idx asc
142|1|2|0|0|5|0|17|2|select name from `tabRole` where desk_access=1 and name in ('System Manager', 'Academics User', 'Accounts Manager', 'Accounts User', 'Analytics', 'Auditor', 'Blogger', 'Expense Approver', 'Fleet Manager', 'HR Manager', 'HR User', 'Instructor', 'Item Manager', 'Knowledge Base Contributor', 'Knowledge Base Editor', 'Leave Approver', 'Maintenance Manager', 'Maintenance User', 'Manufacturing Manager', 'Manufacturing User', 'Newsletter Manager', 'Projects Manager', 'Projects User', 'Purchase Manager', 'Purchase Master Manager', 'Purchase User', 'Quality Manager', 'Report Manager', 'Sales Manager', 'Sales Master Manager', 'Sales User', 'Stock Manager', 'Stock User', 'Student', 'Support Team', 'System Manager', 'Website Manager') limit 1
143|1|1|0|0|3|0|17|1|select `tabRole`.`name` from `tabRole` where `tabRole`.disabled = 1.0 order by `tabRole`.`modified` desc
144|1|1|0|0|2|0|19|1|select modified, docstatus from `tabNote` where name = 'test note' for update
145|1|1|0|0|2|0|29|1|select `name`, `is_group`, `company` from `tabAccount` where `name` = 'Income - CFEC' order by modified desc
146|1|1|0|0|2|0|55|1|select `email` from `tabUser` where `name` = 'test2@example.com' order by modified desc
147|1|3|0|0|7|0|24|3|select * from `tabSales Taxes and Charges` where `parenttype` = 'Delivery Note' and `parent` = 'DN-00014' and `parentfield` = 'taxes' order by idx asc
148|1|2|0|0|6|0|22|2|select name from `tabTerritory` where lft <= 1 and rgt >= 6
149|1|1|0|0|3|0|38|1|select name from `tabLead` where `tabLead`.status = 'Open' order by `tabLead`.`modified` DESC limit 0, 100
150|1|4|0|0|8|0|41|4|select name from `tabQuotation Item` where parent='QTN-00002' and parenttype='Quotation' and parentfield='items' and name not in ('QUOD/00003')
151|1|1|0|0|2|0|29|1|select `name` from `tabAccount` where `name` = 'Postal Expenses - _TC1' order by modified desc
152|1|0|0|0|0|0|16|0|select distinct reference_type from `tabSales Invoice Advance`
153|1|1|0|0|3|0|55|1|select `name`, `parent`, `parenttype`, `docstatus` from `tabSales Invoice Item` where `delivery_note` = 'DN-00022' order by modified desc
154|1|2|0|0|6|0|48|2|select `name` from `tabEmail Account` where `default_outgoing` = 1 and `enable_outgoing` = 1 order by modified desc
155|1|4|0|0|8|0|18|4|select name from `tabSalary Detail` where parent='Sal Slip/_T-Employee-0001/00001' and parenttype='Salary Slip' and parentfield='deductions' and name not in ('546db97b86')
156|1|0|0|0|1|2|55|0|select max(char_length(`background_style`)) from `tabUser`
157|1|1|0|0|3|0|82|1|select `name`, `parent`, `parenttype`, `docstatus` from `tabDelivery Note` where `return_against` = 'DN-00030' order by modified desc
158|1|1|0|0|2|0|61|1|select `supplier`, `company`, `currency` from `tabSupplier Quotation` where `name` = '_T-Supplier Quotation-00002' order by modified desc
159|1|2|0|0|5|0|3|2|select field, value from tabSingles where field in ('stock_frozen_upto_days') and doctype='Stock Settings'
160|1|2|0|0|6|0|43|2|select name from `tabProduction Order` where sales_order = 'SO-00027' and docstatus = 1
161|1|1|0|0|2|0|75|1|select * from `tabItem` where `name` = '_Test PPT Item Sub B' order by modified desc
162|1|3|0|0|9|2|36|3|select sum(debit - credit) as amount, sum(debit_in_account_currency - credit_in_account_currency) as amount_in_account_currency from `tabGL Entry` where voucher_type='Period Closing Voucher' and voucher_no='PCE/001' and account ='_Test Account Cost for Goods Sold - _TC'
163|1|3|0|0|7|0|18|3|select * from `tabBOM Operation` where `parenttype` = 'BOM' and `parent` = 'BOM-_Test PPT Item Sub B-001' and `parentfield` = 'operations' order by idx asc
165|1|3|0|0|7|0|24|3|select * from `tabProduction Order Operation` where `parenttype` = 'Production Order' and `parent` = 'PRO-00001' and `parentfield` = 'operations' order by idx asc
166|1|1|0|0|2|0|17|1|select `is_default` from `tabAddress Template` where `name` = 'India' order by modified desc
167|1|3|0|0|8|1|36|3|select * from `tabStock Ledger Entry` where serial_no like '%ABCD00007%' and item_code='_Test Serialized Item With Series' and ifnull(is_cancelled, 'No')='No' order by posting_date desc, posting_time desc, name desc
168|1|3|0|0|7|0|52|3|select * from `tabDelivery Note Item` where `parenttype` = 'Delivery Note' and `parent` = 'DN-00007' and `parentfield` = 'items' order by idx asc
169|1|3|0|0|7|0|14|3|select * from `tabEmail Alert Recipient` where `parenttype` = 'Email Alert' and `parent` = '_Test Email Alert 2' and `parentfield` = 'recipients' order by idx asc
170|1|4|0|0|12|0|38|4|select `name` from `tabBOM` where `is_default` = 1 and `docstatus` = 1 and `is_active` = 1 and `item` = '_Test FG Item' order by modified desc
171|1|1|0|0|3|0|17|1|select distinct `reference_doctype`, parenttype from `tabPayment Entry Reference` where `reference_doctype`='Role'
