queryNo|tables|conditions|subqueries|joins|paths|functions|total columns|used columns|query
11|1|2|0|0|5|0|6|2|SELECT email_address.id AS `id`, email_address.name AS `name`, email_address.deleted AS `deleted`, email_address.lower AS `lower`, email_address.invalid AS `invalid`, email_address.opt_out AS `optOut` FROM `email_address` WHERE email_address.lower = 'test@test.com' AND email_address.deleted = '0' LIMIT 0, 1
12|1|2|0|0|5|0|4|2|SELECT * FROM `role_user` WHERE user_id = '589dd9e0756dd9d2d' AND role_id = '589dd9e072d8768c3'
13|1|2|0|0|5|0|6|2|SELECT email_address.id AS `id`, email_address.name AS `name`, email_address.deleted AS `deleted`, email_address.lower AS `lower`, email_address.invalid AS `invalid`, email_address.opt_out AS `optOut` FROM `email_address` WHERE email_address.lower IN ('test@test.com') AND email_address.deleted = '0'
14|1|2|0|0|5|1|6|2|SELECT COUNT(email_address.id) AS AggregateValue FROM `email_address` WHERE email_address.id = '589dd5156fc6837f1' AND email_address.deleted = '0'
15|3|6|0|4|17|1|55|8|SELECT COUNT(portal.id) AS AggregateValue FROM `portal` LEFT JOIN `user` AS `modifiedBy` ON portal.modified_by_id = modifiedBy.id LEFT JOIN `user` AS `createdBy` ON portal.created_by_id = createdBy.id LEFT JOIN `attachment` AS `logo` ON portal.logo_id = logo.id LEFT JOIN `attachment` AS `companyLogo` ON portal.company_logo_id = companyLogo.id WHERE portal.id = 'testPortalId' AND portal.deleted = '0'
16|6|23|1|8|43|1|63|22|SELECT COUNT(account.id) AS AggregateValue FROM `account` LEFT JOIN `user` AS `assignedUser` ON account.assigned_user_id = assignedUser.id LEFT JOIN `user` AS `modifiedBy` ON account.modified_by_id = modifiedBy.id LEFT JOIN `user` AS `createdBy` ON account.created_by_id = createdBy.id LEFT JOIN `entity_email_address` AS `emailAddressesMiddle` ON account.id = emailAddressesMiddle.entity_id AND emailAddressesMiddle.deleted = '0' AND emailAddressesMiddle.primary = '1' AND emailAddressesMiddle.entity_type = 'Account' LEFT JOIN `email_address` AS `emailAddresses` ON emailAddresses.id = emailAddressesMiddle.email_address_id AND emailAddresses.deleted = '0' LEFT JOIN `entity_phone_number` AS `phoneNumbersMiddle` ON account.id = phoneNumbersMiddle.entity_id AND phoneNumbersMiddle.deleted = '0' AND phoneNumbersMiddle.primary = '1' AND phoneNumbersMiddle.entity_type = 'Account' LEFT JOIN `phone_number` AS `phoneNumbers` ON phoneNumbers.id = phoneNumbersMiddle.phone_number_id AND phoneNumbers.deleted = '0' WHERE ((account.name LIKE 'Besha%' OR account.id IN ( SELECT entity_id FROM entity_email_address JOIN email_address ON email_address.id = entity_email_address.email_address_id WHERE entity_email_address.deleted = 0 AND entity_email_address.entity_type = 'Account' AND email_address.deleted = 0 AND email_address.name LIKE 'Besha%' ))) AND account.deleted = '0'
17|1|2|0|0|5|0|4|2|SELECT * FROM `portal_user` WHERE user_id = '589dda286ca8fdd97' AND portal_id = 'testPortalId'
18|8|17|0|7|32|6|78|23|SELECT user.id AS `id`, TRIM(CONCAT(IFNULL(user.first_name, ''), ' ', IFNULL(user.last_name, ''))) AS `name`, user.deleted AS `deleted`, user.is_admin AS `isAdmin`, user.user_name AS `userName`, user.password AS `password`, user.salutation_name AS `salutationName`, user.first_name AS `firstName`, user.last_name AS `lastName`, user.is_active AS `isActive`, user.is_portal_user AS `isPortalUser`, user.is_super_admin AS `isSuperAdmin`, user.title AS `title`, emailAddresses.name AS `emailAddress`, phoneNumbers.name AS `phoneNumber`, user.gender AS `gender`, user.created_at AS `createdAt`, user.default_team_id AS `defaultTeamId`, defaultTeam.name AS `defaultTeamName`, user.contact_id AS `contactId`, TRIM(CONCAT(contact.first_name, ' ', contact.last_name)) AS `contactName`, avatar.name AS `avatarName`, user.avatar_id AS `avatarId` FROM `user` LEFT JOIN `contact` AS `contact` ON user.contact_id = contact.id LEFT JOIN `team` AS `defaultTeam` ON user.default_team_id = defaultTeam.id LEFT JOIN `attachment` AS `avatar` ON user.avatar_id = avatar.id LEFT JOIN `entity_email_address` AS `emailAddressesMiddle` ON user.id = emailAddressesMiddle.entity_id AND emailAddressesMiddle.deleted = '0' AND emailAddressesMiddle.primary = '1' AND emailAddressesMiddle.entity_type = 'User' LEFT JOIN `email_address` AS `emailAddresses` ON emailAddresses.id = emailAddressesMiddle.email_address_id AND emailAddresses.deleted = '0' LEFT JOIN `entity_phone_number` AS `phoneNumbersMiddle` ON user.id = phoneNumbersMiddle.entity_id AND phoneNumbersMiddle.deleted = '0' AND phoneNumbersMiddle.primary = '1' AND phoneNumbersMiddle.entity_type = 'User' LEFT JOIN `phone_number` AS `phoneNumbers` ON phoneNumbers.id = phoneNumbersMiddle.phone_number_id AND phoneNumbers.deleted = '0' WHERE user.user_name = 'admin' AND user.deleted = '0' LIMIT 0, 1
19|9|20|0|8|31|1|82|25|SELECT COUNT(user.id) AS AggregateValue FROM `user` LEFT JOIN `contact` AS `contact` ON user.contact_id = contact.id LEFT JOIN `team` AS `defaultTeam` ON user.default_team_id = defaultTeam.id LEFT JOIN `attachment` AS `avatar` ON user.avatar_id = avatar.id LEFT JOIN `entity_email_address` AS `emailAddressesMiddle` ON user.id = emailAddressesMiddle.entity_id AND emailAddressesMiddle.deleted = '0' AND emailAddressesMiddle.primary = '1' AND emailAddressesMiddle.entity_type = 'User' LEFT JOIN `email_address` AS `emailAddresses` ON emailAddresses.id = emailAddressesMiddle.email_address_id AND emailAddresses.deleted = '0' LEFT JOIN `entity_phone_number` AS `phoneNumbersMiddle` ON user.id = phoneNumbersMiddle.entity_id AND phoneNumbersMiddle.deleted = '0' AND phoneNumbersMiddle.primary = '1' AND phoneNumbersMiddle.entity_type = 'User' LEFT JOIN `phone_number` AS `phoneNumbers` ON phoneNumbers.id = phoneNumbersMiddle.phone_number_id AND phoneNumbers.deleted = '0' JOIN `portal_user` ON user.id = portal_user.user_id AND portal_user.portal_id = 'testPortalId' AND portal_user.deleted = '0' WHERE user.id = '589dd906b0d0d1105' AND user.deleted = '0'
20|9|19|0|8|33|6|86|25|SELECT user.id AS `id`, TRIM(CONCAT(IFNULL(user.first_name, ''), ' ', IFNULL(user.last_name, ''))) AS `name`, user.deleted AS `deleted`, user.is_admin AS `isAdmin`, user.user_name AS `userName`, user.password AS `password`, user.salutation_name AS `salutationName`, user.first_name AS `firstName`, user.last_name AS `lastName`, user.is_active AS `isActive`, user.is_portal_user AS `isPortalUser`, user.is_super_admin AS `isSuperAdmin`, user.title AS `title`, emailAddresses.name AS `emailAddress`, phoneNumbers.name AS `phoneNumber`, user.gender AS `gender`, user.created_at AS `createdAt`, user.default_team_id AS `defaultTeamId`, defaultTeam.name AS `defaultTeamName`, user.contact_id AS `contactId`, TRIM(CONCAT(contact.first_name, ' ', contact.last_name)) AS `contactName`, avatar.name AS `avatarName`, user.avatar_id AS `avatarId`, `email_user`.in_trash AS `inTrash`, `email_user`.folder_id AS `folderId` FROM `user` LEFT JOIN `contact` AS `contact` ON user.contact_id = contact.id LEFT JOIN `team` AS `defaultTeam` ON user.default_team_id = defaultTeam.id LEFT JOIN `attachment` AS `avatar` ON user.avatar_id = avatar.id LEFT JOIN `entity_email_address` AS `emailAddressesMiddle` ON user.id = emailAddressesMiddle.entity_id AND emailAddressesMiddle.deleted = '0' AND emailAddressesMiddle.primary = '1' AND emailAddressesMiddle.entity_type = 'User' LEFT JOIN `email_address` AS `emailAddresses` ON emailAddresses.id = emailAddressesMiddle.email_address_id AND emailAddresses.deleted = '0' LEFT JOIN `entity_phone_number` AS `phoneNumbersMiddle` ON user.id = phoneNumbersMiddle.entity_id AND phoneNumbersMiddle.deleted = '0' AND phoneNumbersMiddle.primary = '1' AND phoneNumbersMiddle.entity_type = 'User' LEFT JOIN `phone_number` AS `phoneNumbers` ON phoneNumbers.id = phoneNumbersMiddle.phone_number_id AND phoneNumbers.deleted = '0' JOIN `email_user` ON user.id = email_user.user_id AND email_user.email_id = '589dd5ebb4763b1c8' AND email_user.deleted = '0' WHERE user.deleted = '0'
21|3|6|0|4|16|4|55|8|SELECT portal.id AS `id`, portal.name AS `name`, portal.deleted AS `deleted`, portal.custom_id AS `customId`, portal.is_active AS `isActive`, portal.tab_list AS `tabList`, portal.quick_create_list AS `quickCreateList`, portal.theme AS `theme`, portal.language AS `language`, portal.time_zone AS `timeZone`, portal.date_format AS `dateFormat`, portal.time_format AS `timeFormat`, portal.week_start AS `weekStart`, portal.default_currency AS `defaultCurrency`, portal.dashboard_layout AS `dashboardLayout`, portal.dashlets_options AS `dashletsOptions`, portal.custom_url AS `customUrl`, portal.modified_at AS `modifiedAt`, portal.created_at AS `createdAt`, portal.modified_by_id AS `modifiedById`, TRIM(CONCAT(modifiedBy.first_name, ' ', modifiedBy.last_name)) AS `modifiedByName`, portal.created_by_id AS `createdById`, TRIM(CONCAT(createdBy.first_name, ' ', createdBy.last_name)) AS `createdByName`, logo.name AS `logoName`, portal.logo_id AS `logoId`, companyLogo.name AS `companyLogoName`, portal.company_logo_id AS `companyLogoId` FROM `portal` LEFT JOIN `user` AS `modifiedBy` ON portal.modified_by_id = modifiedBy.id LEFT JOIN `user` AS `createdBy` ON portal.created_by_id = createdBy.id LEFT JOIN `attachment` AS `logo` ON portal.logo_id = logo.id LEFT JOIN `attachment` AS `companyLogo` ON portal.company_logo_id = companyLogo.id WHERE portal.id = 'testPortalId' AND portal.deleted = '0'
22|2|5|0|1|6|0|12|6|SELECT email_address.id AS `id`, email_address.name AS `name`, email_address.deleted AS `deleted`, email_address.lower AS `lower`, email_address.invalid AS `invalid`, email_address.opt_out AS `optOut` FROM `email_address` JOIN `entity_email_address` ON email_address.id = entity_email_address.email_address_id AND entity_email_address.entity_id = 'system' AND entity_email_address.deleted = '0' AND entity_email_address.entity_type = 'User' WHERE email_address.deleted = '0'
23|1|1|0|0|3|0|3|1|SELECT user_id AS 'userId' FROM autofollow WHERE entity_type = 'Account'
24|3|4|0|2|11|2|50|6|SELECT auth_token.id AS `id`, auth_token.deleted AS `deleted`, auth_token.token AS `token`, auth_token.hash AS `hash`, auth_token.user_id AS `userId`, auth_token.ip_address AS `ipAddress`, auth_token.last_access AS `lastAccess`, auth_token.created_at AS `createdAt`, auth_token.modified_at AS `modifiedAt`, TRIM(CONCAT(user.first_name, ' ', user.last_name)) AS `userName`, auth_token.portal_id AS `portalId`, portal.name AS `portalName` FROM `auth_token` LEFT JOIN `portal` AS `portal` ON auth_token.portal_id = portal.id LEFT JOIN `user` AS `user` ON auth_token.user_id = user.id WHERE auth_token.token = '1' AND auth_token.deleted = '0' LIMIT 0, 1
25|1|1|0|0|3|0|3|1|SELECT `entity_type` AS 'entityType' FROM `autofollow` WHERE `user_id` = '1' ORDER BY `entity_type`
26|8|18|0|7|34|6|78|24|SELECT user.id AS `id`, TRIM(CONCAT(IFNULL(user.first_name, ''), ' ', IFNULL(user.last_name, ''))) AS `name`, user.deleted AS `deleted`, user.is_admin AS `isAdmin`, user.user_name AS `userName`, user.password AS `password`, user.salutation_name AS `salutationName`, user.first_name AS `firstName`, user.last_name AS `lastName`, user.is_active AS `isActive`, user.is_portal_user AS `isPortalUser`, user.is_super_admin AS `isSuperAdmin`, user.title AS `title`, emailAddresses.name AS `emailAddress`, phoneNumbers.name AS `phoneNumber`, user.gender AS `gender`, user.created_at AS `createdAt`, user.default_team_id AS `defaultTeamId`, defaultTeam.name AS `defaultTeamName`, user.contact_id AS `contactId`, TRIM(CONCAT(contact.first_name, ' ', contact.last_name)) AS `contactName`, avatar.name AS `avatarName`, user.avatar_id AS `avatarId` FROM `user` LEFT JOIN `contact` AS `contact` ON user.contact_id = contact.id LEFT JOIN `team` AS `defaultTeam` ON user.default_team_id = defaultTeam.id LEFT JOIN `attachment` AS `avatar` ON user.avatar_id = avatar.id LEFT JOIN `entity_email_address` AS `emailAddressesMiddle` ON user.id = emailAddressesMiddle.entity_id AND emailAddressesMiddle.deleted = '0' AND emailAddressesMiddle.primary = '1' AND emailAddressesMiddle.entity_type = 'User' LEFT JOIN `email_address` AS `emailAddresses` ON emailAddresses.id = emailAddressesMiddle.email_address_id AND emailAddresses.deleted = '0' LEFT JOIN `entity_phone_number` AS `phoneNumbersMiddle` ON user.id = phoneNumbersMiddle.entity_id AND phoneNumbersMiddle.deleted = '0' AND phoneNumbersMiddle.primary = '1' AND phoneNumbersMiddle.entity_type = 'User' LEFT JOIN `phone_number` AS `phoneNumbers` ON phoneNumbers.id = phoneNumbersMiddle.phone_number_id AND phoneNumbers.deleted = '0' WHERE user.user_name = 'admin' AND user.password = 'LHVP/3TpyWLV8pGmARkuo8wpX.5Jl3HCJylZt372.xnBg09jBKPDlB5xz8QcgjbIJ4rQXDt/f7028bAmtEhpY/' AND user.deleted = '0' LIMIT 0, 1
27|9|19|0|8|33|6|86|25|SELECT user.id AS `id`, TRIM(CONCAT(IFNULL(user.first_name, ''), ' ', IFNULL(user.last_name, ''))) AS `name`, user.deleted AS `deleted`, user.is_admin AS `isAdmin`, user.user_name AS `userName`, user.password AS `password`, user.salutation_name AS `salutationName`, user.first_name AS `firstName`, user.last_name AS `lastName`, user.is_active AS `isActive`, user.is_portal_user AS `isPortalUser`, user.is_super_admin AS `isSuperAdmin`, user.title AS `title`, emailAddresses.name AS `emailAddress`, phoneNumbers.name AS `phoneNumber`, user.gender AS `gender`, user.created_at AS `createdAt`, user.default_team_id AS `defaultTeamId`, defaultTeam.name AS `defaultTeamName`, user.contact_id AS `contactId`, TRIM(CONCAT(contact.first_name, ' ', contact.last_name)) AS `contactName`, avatar.name AS `avatarName`, user.avatar_id AS `avatarId` FROM `user` LEFT JOIN `contact` AS `contact` ON user.contact_id = contact.id LEFT JOIN `team` AS `defaultTeam` ON user.default_team_id = defaultTeam.id LEFT JOIN `attachment` AS `avatar` ON user.avatar_id = avatar.id LEFT JOIN `entity_email_address` AS `emailAddressesMiddle` ON user.id = emailAddressesMiddle.entity_id AND emailAddressesMiddle.deleted = '0' AND emailAddressesMiddle.primary = '1' AND emailAddressesMiddle.entity_type = 'User' LEFT JOIN `email_address` AS `emailAddresses` ON emailAddresses.id = emailAddressesMiddle.email_address_id AND emailAddresses.deleted = '0' LEFT JOIN `entity_phone_number` AS `phoneNumbersMiddle` ON user.id = phoneNumbersMiddle.entity_id AND phoneNumbersMiddle.deleted = '0' AND phoneNumbersMiddle.primary = '1' AND phoneNumbersMiddle.entity_type = 'User' LEFT JOIN `phone_number` AS `phoneNumbers` ON phoneNumbers.id = phoneNumbersMiddle.phone_number_id AND phoneNumbers.deleted = '0' JOIN `email_user` ON user.id = email_user.user_id AND email_user.email_id = '589dd5ebb4763b1c8' AND email_user.deleted = '0' WHERE user.deleted = '0'
28|2|4|0|1|6|0|9|5|SELECT portal_role.id AS `id`, portal_role.name AS `name`, portal_role.deleted AS `deleted`, portal_role.data AS `data`, portal_role.field_data AS `fieldData` FROM `portal_role` JOIN `portal_role_user` ON portal_role.id = portal_role_user.portal_role_id AND portal_role_user.user_id = '589dd906b0d0d1105' AND portal_role_user.deleted = '0' WHERE portal_role.deleted = '0'
29|8|17|0|7|31|6|78|22|SELECT user.id AS `id`, TRIM(CONCAT(IFNULL(user.first_name, ''), ' ', IFNULL(user.last_name, ''))) AS `name`, user.deleted AS `deleted`, user.is_admin AS `isAdmin`, user.user_name AS `userName`, user.password AS `password`, user.salutation_name AS `salutationName`, user.first_name AS `firstName`, user.last_name AS `lastName`, user.is_active AS `isActive`, user.is_portal_user AS `isPortalUser`, user.is_super_admin AS `isSuperAdmin`, user.title AS `title`, emailAddresses.name AS `emailAddress`, phoneNumbers.name AS `phoneNumber`, user.gender AS `gender`, user.created_at AS `createdAt`, user.default_team_id AS `defaultTeamId`, defaultTeam.name AS `defaultTeamName`, user.contact_id AS `contactId`, TRIM(CONCAT(contact.first_name, ' ', contact.last_name)) AS `contactName`, avatar.name AS `avatarName`, user.avatar_id AS `avatarId` FROM `user` LEFT JOIN `contact` AS `contact` ON user.contact_id = contact.id LEFT JOIN `team` AS `defaultTeam` ON user.default_team_id = defaultTeam.id LEFT JOIN `attachment` AS `avatar` ON user.avatar_id = avatar.id LEFT JOIN `entity_email_address` AS `emailAddressesMiddle` ON user.id = emailAddressesMiddle.entity_id AND emailAddressesMiddle.deleted = '0' AND emailAddressesMiddle.primary = '1' AND emailAddressesMiddle.entity_type = 'User' LEFT JOIN `email_address` AS `emailAddresses` ON emailAddresses.id = emailAddressesMiddle.email_address_id AND emailAddresses.deleted = '0' LEFT JOIN `entity_phone_number` AS `phoneNumbersMiddle` ON user.id = phoneNumbersMiddle.entity_id AND phoneNumbersMiddle.deleted = '0' AND phoneNumbersMiddle.primary = '1' AND phoneNumbersMiddle.entity_type = 'User' LEFT JOIN `phone_number` AS `phoneNumbers` ON phoneNumbers.id = phoneNumbersMiddle.phone_number_id AND phoneNumbers.deleted = '0' WHERE user.id = 'system' AND user.deleted = '0'
30|1|2|0|0|5|0|4|2|SELECT * FROM `portal_role_user` WHERE user_id = '589dda286ca8fdd97' AND portal_role_id = '589dda28693a32d4a'
31|2|4|0|1|9|2|26|5|SELECT extension.id AS `id`, extension.name AS `name`, extension.deleted AS `deleted`, extension.version AS `version`, extension.file_list AS `fileList`, extension.description AS `description`, extension.is_installed AS `isInstalled`, extension.created_at AS `createdAt`, extension.created_by_id AS `createdById`, TRIM(CONCAT(createdBy.first_name, ' ', createdBy.last_name)) AS `createdByName` FROM `extension` LEFT JOIN `user` AS `createdBy` ON extension.created_by_id = createdBy.id WHERE extension.name = 'Test Extension' AND extension.is_installed = '1' AND extension.deleted = '0' LIMIT 0, 1
32|2|3|0|1|7|2|26|4|SELECT extension.id AS `id`, extension.name AS `name`, extension.deleted AS `deleted`, extension.version AS `version`, extension.file_list AS `fileList`, extension.description AS `description`, extension.is_installed AS `isInstalled`, extension.created_at AS `createdAt`, extension.created_by_id AS `createdById`, TRIM(CONCAT(createdBy.first_name, ' ', createdBy.last_name)) AS `createdByName` FROM `extension` LEFT JOIN `user` AS `createdBy` ON extension.created_by_id = createdBy.id WHERE extension.id = '589dd67cbaacf' AND extension.deleted = '0'
33|1|2|0|0|5|1|5|2|SELECT COUNT(portal_role.id) AS AggregateValue FROM `portal_role` WHERE portal_role.id = '589dda28693a32d4a' AND portal_role.deleted = '0'
